Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
25-11-2023,37293.31613,37738.9317,37293.31613,37738.9317,37738.9317,-337,0,35965.36036,-337,4.931332035,37810.34642,-0.18887613,37250.16905,1.312108531
26-11-2023,37738.9317,37809.85287,37738.9317,37809.85287,37809.85287,-336,0,35965.36036,-336,5.128525023,37810.34642,-0.001305331,37250.16905,1.502500067
27-11-2023,37809.85287,37809.85287,37491.83819,37491.83819,37809.85287,-335,-0.841089441,35965.36036,-335,4.244300099,38688.25874,-3.092464212,37250.16905,0.648773256
28-11-2023,37491.83819,37491.83819,37250.16905,37250.16905,37809.85287,-334,-1.480259171,35965.36036,-334,3.572350389,39481.66642,-5.651983736,37250.16905,0
29-11-2023,37250.16905,37802.23604,37250.16905,37802.23604,37809.85287,-333,-0.020145073,35965.36036,-333,5.107346804,39960.27542,-5.400461718,37711.81838,0.239759502
30-11-2023,37802.23604,37810.34642,37802.23604,37810.34642,37810.34642,-332,0,37250.16905,-332,1.503825028,41974.33177,-9.92031363,37711.81838,0.261265685
01-12-2023,37810.34642,37810.34642,37711.81838,37711.81838,37810.34642,-331,-0.260584866,37250.16905,-331,1.239321421,44105.94477,-14.49719857,37711.81838,0
02-12-2023,37711.81838,38688.25874,37711.81838,38688.25874,38688.25874,-330,0,37250.16905,-330,3.860625943,44105.94477,-12.28334652,38688.25874,0
03-12-2023,38688.25874,39481.66642,38688.25874,39481.66642,39481.66642,-329,0,37250.16905,-329,5.990569765,44105.94477,-10.48447864,39481.66642,0
04-12-2023,39481.66642,39960.27542,39481.66642,39960.27542,39960.27542,-328,0,37250.16905,-328,7.275420321,44202.17611,-9.596587911,39960.27542,0
05-12-2023,39960.27542,41974.33177,39960.27542,41974.33177,41974.33177,-327,0,37250.16905,-327,12.68225847,44202.17611,-5.040123661,41974.33177,0
